,close_price,starting_price,high_price,low_price,trading_volume
20200323153200,197,197,197,197,7511
20200323151400,189,186,189,186,3
20200323150800,189,187,189,187,6700
20200323150700,187,187,187,187,1
20200323150600,185,186,186,185,3000
20200323150300,186,187,187,186,1189
20200323150200,187,187,187,187,6
20200323145800,187,187,187,187,4
20200323145200,185,185,185,185,209
20200323145100,188,188,188,188,1
20200323145000,187,187,187,187,1034
20200323144900,187,187,187,187,1800
20200323144800,187,186,187,186,10525
20200323144500,188,188,188,188,131
20200323143800,193,188,193,188,11
20200323143700,188,188,188,188,1040
20200323143400,192,192,192,192,790
20200323143300,188,188,188,188,80
20200323143200,188,188,188,188,1
20200323143100,192,192,192,192,1
20200323142800,188,188,188,188,1050
20200323142700,188,188,188,188,2000
20200323142600,192,192,192,192,1
20200323142200,189,189,189,189,2066
20200323142100,189,190,190,189,19869
20200323142000,191,191,191,191,3651
20200323141800,191,191,191,191,3
20200323141500,192,192,192,192,400
20200323141400,193,194,194,193,34199
20200323141100,194,194,194,194,10730
20200323134300,196,196,196,196,72
20200323134200,196,196,196,196,2
20200323133500,196,196,196,196,100
20200323133100,196,196,196,196,618
20200323132600,195,195,195,195,1694
20200323132400,196,196,196,196,110
20200323132300,196,196,196,196,29
20200323132200,196,196,196,196,250
20200323130600,196,196,196,196,512
20200323130100,192,195,195,192,28800
20200323125800,196,196,196,196,8
20200323125400,196,196,196,196,1507
20200323125200,197,197,197,197,2000
20200323124900,197,197,197,197,1750
20200323124800,197,197,197,197,1
20200323124400,197,197,197,197,333
20200323124200,195,196,196,195,2545
20200323123400,197,197,197,197,282
20200323123000,200,200,200,200,587
20200323122800,199,199,199,199,395
20200323122700,199,199,199,199,4000
20200323122500,200,198,200,198,1000
20200323122400,198,198,198,198,825
20200323122300,198,198,198,198,2528
20200323122200,198,198,198,198,100
20200323122100,199,199,199,199,100
20200323122000,199,199,199,199,10
20200323121700,200,200,200,200,20
20200323121500,197,197,197,197,30
20200323121200,196,194,197,194,26300
20200323121100,194,194,194,194,500
20200323121000,194,194,194,194,5034
20200323120500,194,194,194,194,500
20200323120400,194,194,194,194,1
20200323120000,192,192,192,192,5000
20200323115600,196,195,196,195,1723
20200323115500,193,193,193,193,529
20200323115000,194,194,194,194,1000
20200323114000,195,195,195,195,618
20200323113900,195,195,195,195,1725
20200323113400,193,193,193,193,58
20200323113100,192,192,192,192,900
20200323112900,192,192,192,192,2600
20200323112500,192,193,193,192,457
20200323111900,196,196,196,196,80
20200323111300,196,196,196,196,300
20200323111100,196,196,196,196,20
20200323110500,196,195,196,195,912
20200323110200,196,196,196,196,597
20200323110100,196,195,196,195,500
20200323105900,195,195,195,195,1141
20200323104900,194,194,194,194,2759
20200323104200,194,195,195,194,195
20200323104100,194,194,194,194,3066
20200323103700,194,194,194,194,1
20200323103500,193,193,193,193,650
20200323103200,193,193,193,193,1000
20200323103100,191,191,191,191,1
20200323103000,193,193,193,193,220
20200323102900,193,193,193,193,684
20200323102800,191,191,191,191,1559
20200323102700,191,191,191,191,102
20200323102600,191,191,191,191,4339
20200323102300,192,192,192,192,4856
20200323102200,192,192,192,192,10
20200323101600,189,190,190,189,11000
20200323100500,189,189,189,189,1
20200323100400,189,189,189,189,1269
20200323095800,189,189,189,189,161
20200323095700,190,190,190,190,100
20200323095200,189,189,189,189,70
20200323094900,191,188,191,188,13300
20200323094800,189,194,194,189,41249
20200323094700,193,194,194,193,10000
20200323094600,195,195,195,195,22
20200323094500,195,195,195,195,398
20200323094100,195,195,195,195,2000
20200323093700,193,193,193,193,175
20200323093600,193,195,195,193,636
20200323093300,195,195,195,195,1000
20200323092900,193,195,195,193,126
20200323092600,195,192,195,192,6160
20200323092100,195,195,195,195,1504
20200323092000,191,191,191,191,47
20200323091900,195,195,195,195,500
20200323091800,192,192,192,192,5206
20200323091700,192,193,193,192,541
20200323091600,193,193,193,193,514
20200323091500,193,192,193,192,6908
20200323091400,193,193,193,193,5770
20200323091300,195,195,195,195,4058
20200323091200,193,196,196,193,35887
20200323091100,196,196,196,196,45
20200323091000,195,195,195,195,898
20200323090900,194,194,194,194,940
20200323090400,192,202,202,192,4400
20200323090300,204,204,204,204,70
20200323090200,203,203,203,203,499
20200323090000,203,208,208,203,174
20200320153500,214,214,214,214,8
20200320153000,214,214,214,214,7685
20200320151900,214,212,214,212,9
20200320151600,214,214,214,214,32
20200320151500,214,212,214,212,881
20200320151400,212,212,212,212,1000
20200320151200,212,212,212,212,1
20200320151000,210,210,210,210,600
20200320150600,210,210,210,210,1968
20200320150500,210,210,210,209,1033
20200320150400,215,212,215,212,1016
20200320150200,212,212,212,212,3
20200320150100,212,209,212,209,8408
20200320150000,209,209,209,209,4600
